P1D,Trial,Layout,Metaphor,Strategy,Intensity,Time (s),Gender,Distance,M1,M2,M3,M4,M5,M6,Ineraction_L_M,,Speed,Acceleration,Jerk,Interaction_M_A,Speed_95,Acceleration_95,Jerk_95
1,1,Vertical,Push,Two-tactor,Linear,86.34,Male,946.65,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,11.46,-6.74,648.45,Push_Two_tactor,53.75,445.52,19602.77
1,2,Vertical,Push,Two-tactor,Linear,26.28,Male,354.04,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,12.13,-0.8,-301.86,Push_Two_tactor,35.44,376.17,15981.23
1,3,Vertical,Push,Two-tactor,Linear,28.49,Male,365.54,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,22.57,6.27,1611.7,Push_Two_tactor,65.61,763.5,29552.72
1,4,Vertical,Push,Two-tactor,Zone,24.08,Male,635.5,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,17.49,-3.67,998.85,Push_Two_tactor,54.87,542.2,22100.24
1,5,Vertical,Push,Two-tactor,Zone,21.78,Male,292.19,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,13.39,-3.11,206.01,Push_Two_tactor,41.87,434.57,16393.78
1,6,Vertical,Push,Two-tactor,Zone,9.72,Male,164.07,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,24.43,5.48,208.57,Push_Two_tactor,50.63,536.38,19081.05
1,7,Vertical,Push,Worst-axis,Linear,15.23,Male,822.97,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,15.05,-6.65,907.92,Push_Worst_axis,51.34,500.5,17976.94
1,8,Vertical,Push,Worst-axis,Linear,17.25,Male,247.21,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,20.24,-2.27,1258.13,Push_Worst_axis,78.76,1074.37,50449.16
1,9,Vertical,Push,Worst-axis,Linear,9.49,Male,101.47,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,19.28,-24.07,839.75,Push_Worst_axis,50.95,548.95,19398.57
1,10,Vertical,Push,Worst-axis,Zone,12.95,Male,243.35,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,37.38,7.87,3180.22,Push_Worst_axis,117.93,1526.2,69758.07
1,11,Vertical,Push,Worst-axis,Zone,16.48,Male,198.55,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,15.91,-3.81,919.07,Push_Worst_axis,49.96,719.67,28916.85
1,12,Vertical,Push,Worst-axis,Zone,9.71,Male,145.64,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Push,,16.72,-13.09,350.65,Push_Worst_axis,52.01,669.5,23420.77
1,13,Vertical,Pull,Worst-axis,Linear,6.98,Male,116.57,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Pull,,15.55,2.01,306.82,Pull_Worst_axis,41.46,462.38,17311.37
1,14,Vertical,Pull,Worst-axis,Linear,9.52,Male,190.89,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Pull,,12.85,-9.33,528.2,Pull_Worst_axis,44.65,558.5,23213.7
1,15,Vertical,Pull,Worst-axis,Linear,5.67,Male,85.16,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Pull,,26.86,-27.06,1266.38,Pull_Worst_axis,57.09,737.8,21903.95
1,16,Vertical,Pull,Worst-axis,Zone,3.09,Male,80.86,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Pull,,12.34,-5.79,983.79,Pull_Worst_axis,40.48,421.47,17353.6
1,17,Vertical,Pull,Worst-axis,Zone,3.75,Male,49.39,8.2,4.6,4.9,8.5,7.6,10.2,Vertical_Pull,,16.58,-4.88,1161.55,Pull_Worst_axis,45.17,591.29,23900.11
