Participant,Layout,metaphor,intensity,guidance approach,total_distance,speed,acceleration,jerk,in zone percentage,total time,Gender,Layout Metaphor,Layout Approach,Metaphor Approach
P1_H,horizontal,pull,zone,worst_axis,305.57,11.46,-6.74,648.45,90,17.1,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,zone,worst_axis,95.78,12.13,-0.8,-301.86,99,6.58,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,zone,worst_axis,114.61,22.57,6.27,1611.7,96,4.34,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,linear,worst_axis,215.53,17.49,-3.67,998.85,78,9.47,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,linear,worst_axis,266.31,13.39,-3.11,206.01,33,15.64,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,linear,worst_axis,158.45,24.43,5.48,208.57,58,6.04,Male,horizontal_pull,horizontal_worst_axis,pull_worst_axis
P1_H,horizontal,pull,zone,two_tactor,506.59,15.05,-6.65,907.92,22,17.98,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,pull,zone,two_tactor,292.23,20.24,-2.27,1258.13,53,10.69,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,pull,zone,two_tactor,124.0,19.28,-24.07,839.75,73,5.69,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,pull,linear,two_tactor,375.84,37.38,7.87,3180.22,43,7.77,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,pull,linear,two_tactor,458.32,15.91,-3.81,919.07,22,22.18,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,pull,linear,two_tactor,175.2,16.72,-13.09,350.65,69,8.72,Male,horizontal_pull,horizontal_two_tactor,pull_two_tactor
P1_H,horizontal,push,zone,two_tactor,428.51,15.55,2.01,306.82,100,5.74,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,zone,two_tactor,558.33,12.85,-9.33,528.2,11,33.35,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,zone,two_tactor,91.45,26.86,-27.06,1266.38,91,3.4,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,linear,two_tactor,93.43,12.34,-5.79,983.79,92,6.15,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,linear,two_tactor,239.22,16.58,-4.88,1161.55,60,12.23,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,linear,two_tactor,396.62,15.81,-17.05,508.91,50,20.94,Male,horizontal_push,horizontal_two_tactor,push_two_tactor
P1_H,horizontal,push,zone,worst_axis,307.16,8.85,-9.1,571.3,100,6.85,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1_H,horizontal,push,zone,worst_axis,203.91,16.08,-3.12,1563.52,87,8.2,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1_H,horizontal,push,zone,worst_axis,110.64,5.71,-0.08,191.58,100,11.7,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1_H,horizontal,push,linear,worst_axis,168.9,15.88,-12.1,1790.08,92,5.71,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1_H,horizontal,push,linear,worst_axis,99.36,22.66,7.38,1141.55,96,3.86,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1_H,horizontal,push,linear,worst_axis,461.95,22.38,6.0,2206.28,61,14.34,Male,horizontal_push,horizontal_worst_axis,push_worst_axis
P1,vertical,push,linear,two_tactor,946.65,7.76,-1.14,134.29,93,86.34,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,linear,two_tactor,354.04,10.28,-8.07,591.41,72,26.28,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,linear,two_tactor,365.54,9.87,-2.0,519.69,80,28.49,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,zone,two_tactor,635.5,11.24,-6.34,605.6,58,24.08,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,zone,two_tactor,292.19,9.78,0.6,518.53,75,21.78,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,zone,two_tactor,164.07,10.21,2.97,405.98,87,9.72,Male,vertical_push,vertical_two_tactor,push_two_tactor
P1,vertical,push,linear,worst_axis,822.97,8.71,1.32,650.61,100,15.23,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,push,linear,worst_axis,247.21,8.45,-11.61,422.88,33,17.25,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,push,linear,worst_axis,101.47,6.2,-3.04,288.03,100,9.49,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,push,zone,worst_axis,243.35,12.29,-1.87,583.45,97,12.95,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,push,zone,worst_axis,198.55,8.68,1.17,246.42,100,16.48,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,push,zone,worst_axis,145.64,10.8,-3.03,472.41,95,9.71,Male,vertical_push,vertical_worst_axis,push_worst_axis
P1,vertical,pull,linear,worst_axis,116.57,10.56,-9.11,9.2,90,6.98,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,linear,worst_axis,190.89,16.11,-9.29,1118.49,44,9.52,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,linear,worst_axis,85.16,12.13,-8.82,627.16,100,5.67,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,zone,worst_axis,80.86,19.01,-9.77,2536.98,92,3.09,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,zone,worst_axis,49.39,10.42,1.72,315.15,100,3.75,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,zone,worst_axis,66.06,19.13,-6.77,1170.47,100,3.06,Male,vertical_pull,vertical_worst_axis,pull_worst_axis
P1,vertical,pull,linear,two_tactor,354.39,10.53,-21.28,995.95,74,6.78,Male,vertical_pull,vertical_two_tactor,pull_two_tactor
